Infinite Health,811EF6A6 0140
Max Health,811EF6A4 0140
Infinite Magic,801EF6A9 0030
Have Ocarina Of Time,801EF6E0 0000
Have Hero's Bow,801EF6E1 0001
Have Fire Arrow (MP2),801EF6E2 0002
Have Ice Arrow (MP2),801EF6E3 0003
Have Light Arrow (MP4),801EF6E4 0004
Have Bomb,801EF6E6 0006
Have Bombchu,801EF6E7 0007
Have Deku Stick,801EF6E8 0008
Have Deku Nut,801EF6E9 0009
Have Magic Beans,801EF6EA 000A
Have Powder Keg,801EF6EC 000C
Have Pictograph Box,801EF6ED 000D
Have Lens Of Truth,801EF6EE 000E
Have Hookshot,801EF6EF 000F
Infinite Rupees,811EF6AA 03E7
Infinite Arrows,801EF711 0009
Infinite Bombs,801EF716 0009
Infinite Bombachus,801EF717 0009
Infinite Deku Sticks,801EF718 0009
Infinte Deku Nuts,801EF719 0009
Infinite Magic Beans,801EF71A 0009
Infinite Powder Keg,801EF71C 0009
Have Postman's Mask,801EF6F8 003E
Have All-Night Mask,801EF6F9 0038
Have Blast Mask,801EF6FA 0047
Have Stone Mask,801EF6FB 0045
Have Great Fairy's Mask,801EF6FC 0040
Have Deku Mask,801EF6FD 0032
Have Keaton Mask,801EF6FE 003A
Have Breman Mask,801EF6FF 0046
Have Bunny Hood,801EF700 0039
Have Don Gero's Mask,801EF701 0042
Have Mask of Scents,801EF702 0048
Have Goron Mask,801EF703 0033
Have Romani's Mask,801EF704 003C
Have Circus Leader's Mask,801EF705 003D
Have Kafei's Mask,801EF706 0037
Have Couple Mask,801EF707 003F
Have Mask of Truth,801EF708 0036
Have Zora Mask,801EF709 0034
Have Kamaro's Mask,801EF70A 0043
Have Gibdo Mask,801EF70B 0041
Have Garo's Mask,801EF70C 003B
Have Captain's Hat,801EF70D 0044
Have Giant's Mask,801EF70E 0049
Have Fierce Deity's Mask,801EF70F 0035
Maximum Visibility,80166118 0020
Semi-Walk through Walls #1,8017CBC4 0020
Semi-Walk through Walls #2,8017CBAC 0020
No Collisions,8017F5B4 0020
Blue Fog,80166108 0020
Pink Fog,8016610C 0020
Yellow Fog,80166110 0020
Alternate Entrances,8016A720 0020
Fight Demo Majora's Mask,8016A718 0020
L Button For Moon Jump,D03E6B3B 0020+813FFE18 40CB
All Quest/Status Items,801EF72D 0005+811EF72E F7CF
All Equipment Upgrades,801EF6DD 0023+811EF72A 201B
Double Magic Meter,811EF6B0 0101
Double Defense,801EF6B2 0001+801EF743 0014
"Have Big Key, Compass, & Map",811EF730 0707+811EF732 0707
Have All Stray Fairies,811EF744 0F0F+811EF746 0F0F
Infinite Small Keys,811EF73A 0909+811EF73C 0909
Use Shield With Two-Handed Weapons,D23FFEF7 000D+803FFF01 0008
