Infinite Health, 811EF6A6 0140
Max Health, 811EF6A4 0140
Infinite Magic, 801EF6A9 0030
Infinite Rupees, 811EF6AA 03E7
Infinite Arrows, 801EF711 0009
Infinite Bombs, 801EF716 0009
Infinite Bombachus, 801EF717 0009
Infinite Deku Sticks, 801EF718 0009
Infinte Deku Nuts, 801EF719 0009
Infinite Magic Beans, 801EF71A 0009
Infinite Powder Keg, 801EF71C 0009
Double Magic Meter, 811EF6B0 0101
Double Defense, 801EF6B2 0001+801EF743 0014
Infinite Small Keys, 811EF73A 0909+811EF73C 0909
L Button For Moon Jump,D03E6B3B 0020+813FFE18 40CB
